Firms	Complaints per 1000	Closed	Upheld%	Closed 8 weeks+%	FOS new cases#	FOS Upheld%	FOS cases per 1m
HSBC HOLDINGS PLC	3.2	100048.0	0.6	0.0	3452.0	0.3	112.1
THE ROYAL BANK OF SCOTLAND GROUP	2.8	98934.0	0.6	0.0	3272.0	0.4	91.1
NATIONWIDE BUILDING SOCIETY	2.3	90805.0	0.6	0.1	2370.0	0.3	60.8
BARCLAYS PLC	2.1	85116.0	0.6	0.0	4813.0	0.4	117.5
BANCO SANTANDER SA	2.5	59737.0	0.5	0.0	5183.0	0.3	213.4
MONZO BANK LIMITED	3.8	56058.0	0.3	0.2	3393.0	0.4	228.8
PROVIDENT FINANCIAL PLC	20.0	31574.0	0.2	0.1	20069.0	0.3	12737.8
TSB BANKING GROUP	3.3	29045.0	0.7	0.0	752.0	0.3	85.2
CAPITAL ONE FINANCIAL CORP	4.6	25132.0	0.3	0.0	1293.0	0.2	236.1
STARLING BANK LIMITED	5.1	21983.0	0.4	0.0	731.0	0.2	168.6
JPMORGAN CHASE & CO	1.7	12516.0	0.4	0.0	461.0	0.3	61.5
CO-OPERATIVE GROUP LIMITED	3.0	10735.0	0.7	0.1	424.0	0.5	118.5
AMERICAN EXPRESS	3.7	10728.0	0.3	0.0	739.0	0.3	253.5
METRO BANK PLC	3.2	8283.0	0.4	0.0	519.0	0.4	198.0
J SAINSBURY PLC	1.7	7855.0	0.4	0.0	282.0	0.3	60.4
BNP PARIBAS	2.5	4478.0	0.3	0.1	470.0	0.5	260.9
ClearBank Limited	2.1	3398.0	0.6	0.0	99.0	0.3	62.1
ZOPA HOLDINGS INC	3.4	3258.0	0.5	0.0	419.0	0.3	439.8
COVENTRY BUILDING SOCIETY	1.2	3249.0	0.6	0.0	19.0	0.0	7.2
SKIPTON BUILDING SOCIETY	2.0	2687.0	0.8	0.0	31.0	0.0	23.0
BANK OF IRELAND GROUP PLC	2.3	2531.0	0.5	0.0	316.0	0.5	285.9
LEEDS BUILDING SOCIETY	2.0	1947.0	0.6	0.0	25.0	0.3	26.2
YORKSHIRE BUILDING SOCIETY	0.5	1751.0	0.8	0.0	55.0	0.3	16.2
ONESAVINGS BANK PLC	4.1	1592.0	0.5	0.0	13.0	0.0	33.1
DANSKE BANK A/S	1.7	1509.0	0.4	0.0	38.0	0.3	42.8
IKANO	4.2	1321.0	0.3	0.1	31.0	0.4	98.1
MARLIN BIDCO LIMITED	2.0	887.0	0.7	0.0	349.0	0.3	779.1
PARAGON BANKING GROUP PLC	1.9	848.0	0.7	0.0	49.0	0.4	108.1
PRINCIPALITY BUILDING SOCIETY	1.2	834.0	0.6	0.0	0.0	0.0	0.0
CITIGROUP INC	99.2	758.0	0.1	0.0	0.0	0.0	0.0
CHARTER COURT FINANCIAL SERVICES GROUP PLC	2.6	741.0	0.4	0.0	11.0	0.0	39.2
Triodos Bank UK Limited	5.5	620.0	0.4	0.0	0.0	0.0	0.0
RMB HOLDINGS LIMITED	1.6	586.0	0.7	0.0	0.0	0.0	0.0
NEWCASTLE BUILDING SOCIETY	1.5	554.0	0.7	0.0	0.0	0.0	0.0
Moorcroft Group	0.7	482.0	0.5	0.0	0.0	0.0	0.0
